MONTH,VARIANT,ANTALL,PROSENT,SPVFLAGG
Mars,JN.1,13,32.5,0
April,JN.1,0,0,0
Mars,JN.1.4,8,20.0,0
April,JN.1.4,0,0,0
Mars,JN.1.7,4,10.0,0
April,JN.1.7,0,0,0
Mars,KP.2,4,10.0,0
April,KP.2,0,0,0
Mars,JN.1.1,2,5.0,0
April,JN.1.1,0,0,0
Mars,JN.1.18,2,5.0,0
April,JN.1.18,0,0,0
Mars,BA.5.2.2,1,2.5,0
April,BA.5.2.2,0,0,0
Mars,JN.1.11.1,1,2.5,0
April,JN.1.11.1,0,0,0
Mars,JN.1.16,1,2.5,0
April,JN.1.16,0,0,0
Mars,JN.1.2,1,2.5,0
April,JN.1.2,0,0,0
