PANGO_SHORT,CATEGORY,ANTALL,SPVFLAGG
DV.7.1,2023-aug,1,0
DV.7.1,2023-sep,1,0
DV.7.1,2023-okt,1,0
DV.7.1,2023-nov,1,0
XBB.1.16,2023-aug,32,0
XBB.1.16,2023-sep,25,0
XBB.1.16,2023-okt,16,0
XBB.1.16,2023-nov,8,0
XBB.1.5-like+L455F+F456L,2023-aug,8,0
XBB.1.5-like+L455F+F456L,2023-sep,26,0
XBB.1.5-like+L455F+F456L,2023-okt,37,0
XBB.1.5-like+L455F+F456L,2023-nov,32,0
DV.7.1,TOTAL_OBS,4,0
XBB.1.16,TOTAL_OBS,187,0
XBB.1.5-like+L455F+F456L,TOTAL_OBS,103,0
