PANGO_SHORT,ANTALL,CATEGORY,SPVFLAGG
XBB.1.5,1080,TOTAL_OBS,0
XBB.1.16,125,TOTAL_OBS,0
EG.5,83,TOTAL_OBS,0
EG.5,50,2023-aug,0
XBB.1.16,29,2023-aug,0
XBB.1.5,2,2023-aug,0
EG.5,27,2023-jul,0
XBB.1.16,23,2023-jul,0
XBB.1.5,8,2023-jul,0
EG.5,3,2023-jun,0
XBB.1.16,11,2023-jun,0
XBB.1.5,32,2023-jun,0
EG.5,1,2023-sep,0
XBB.1.16,1,2023-sep,0
