PANGO_SHORT,CATEGORY,ANTALL,SPVFLAGG
XBB.1.5-like+L455F+F456L,2023-okt,38,0
XBB.1.5-like+L455F+F456L,2023-nov,43,0
XBB.1.5-like+L455F+F456L,2023-des,9,0
XBB.1.5-like+L455F+F456L,2024-jan,2,0
XBB.1.5-like+L455F+F456L,TOTAL_OBS,126,0
