PANGO_SHORT,ANTALL,CATEGORY,SPVFLAGG
BA.2.75,2,2023-jul,0
BA.2.75,3,2023-aug,0
BA.2.75,0,2023-sep,1
BA.2.75,1,2023-okt,0
XBB.1.5-like,31,2023-jul,0
XBB.1.5-like,20,2023-aug,0
XBB.1.5-like,10,2023-sep,0
XBB.1.5-like,12,2023-okt,0
XBB.1.5-like+F456L,39,2023-jul,0
XBB.1.5-like+F456L,68,2023-aug,0
XBB.1.5-like+F456L,75,2023-sep,0
XBB.1.5-like+F456L,42,2023-okt,0
BA.2.75,968,TOTAL_OBS,0
XBB.1.5-like,1846,TOTAL_OBS,0
XBB.1.5-like+F456L,361,TOTAL_OBS,0
