MONTH,VARIANT,ANTALL,PROSENT,SPVFLAGG
Januar,JN.1,42,44.2,0
Desember,JN.1,75,50.7,0
Januar,JN.1.4,30,31.6,0
Desember,JN.1.4,0,0,0
Januar,JN.2,5,5.3,0
Desember,JN.2,20,13.5,0
Januar,JN.1.1,3,3.2,0
Desember,JN.1.1,0,0,0
Januar,BA.2.86.1,2,2.1,0
Desember,BA.2.86.1,14,9.5,0
Januar,HK.11.1,2,2.1,0
Desember,HK.11.1,0,0,0
Januar,JN.3,2,2.1,0
Desember,JN.3,5,3.4,0
Januar,HK.1,1,1.1,0
Desember,HK.1,0,0,0
Januar,HK.3.2,1,1.1,0
Desember,HK.3.2,0,0,0
Januar,JD.1.1.1,1,1.1,0
Desember,JD.1.1.1,0,0,0
