MONTH,VARIANT,ANTALL,PROSENT,SPVFLAGG
Januar,JN.1.4,66,36.9,0
Februar,JN.1.4,7,25.0,0
Januar,JN.1,65,36.3,0
Februar,JN.1,12,42.9,0
Januar,JN.1.1,5,2.8,0
Februar,JN.1.1,1,3.6,0
Januar,JN.2,5,2.8,0
Februar,JN.2,0,0,0
Januar,JN.3.1,4,2.2,0
Februar,JN.3.1,0,0,0
Januar,BA.2.86.1,3,1.7,0
Februar,BA.2.86.1,1,3.6,0
Januar,JN.1.8,3,1.7,0
Februar,JN.1.8,2,7.1,0
Januar,JN.3,3,1.7,0
Februar,JN.3,0,0,0
Januar,HK.11.1,2,1.1,0
Februar,HK.11.1,0,0,0
Januar,JG.3.1,2,1.1,0
Februar,JG.3.1,0,0,0
