PANGOLIN_NOM,CATEGORY,ANTALL,SPVFLAGG
EG.5.1.1,PREV_MONTH_ANTALL,35,0
EG.5.1.1,CURR_MONTH_ANTALL,19,0
EG.5.1.1,PREV_MONTH_PERC,23.33,0
EG.5.1.1,CURR_MONTH_PERC,11.59,0
EG.5.1.1,PERC_CHANGE,-50.3,0
HK.3,PREV_MONTH_ANTALL,5,0
HK.3,CURR_MONTH_ANTALL,19,0
HK.3,PREV_MONTH_PERC,3.33,0
HK.3,CURR_MONTH_PERC,11.59,0
HK.3,PERC_CHANGE,248,0
EG.5.1,PREV_MONTH_ANTALL,1,0
EG.5.1,CURR_MONTH_ANTALL,17,0
EG.5.1,PREV_MONTH_PERC,0.67,0
EG.5.1,CURR_MONTH_PERC,10.37,0
EG.5.1,PERC_CHANGE,1447.8,0
EG.5.1.3,PREV_MONTH_ANTALL,5,0
EG.5.1.3,CURR_MONTH_ANTALL,10,0
EG.5.1.3,PREV_MONTH_PERC,3.33,0
EG.5.1.3,CURR_MONTH_PERC,6.1,0
EG.5.1.3,PERC_CHANGE,83.2,0
XBB.1.16,PREV_MONTH_ANTALL,8,0
XBB.1.16,CURR_MONTH_ANTALL,8,0
XBB.1.16,PREV_MONTH_PERC,5.33,0
XBB.1.16,CURR_MONTH_PERC,4.88,0
XBB.1.16,PERC_CHANGE,-8.4,0
HV.1,PREV_MONTH_ANTALL,2,0
HV.1,CURR_MONTH_ANTALL,6,0
HV.1,PREV_MONTH_PERC,1.33,0
HV.1,CURR_MONTH_PERC,3.66,0
HV.1,PERC_CHANGE,175.2,0
JG.3,PREV_MONTH_ANTALL,0,1
JG.3,CURR_MONTH_ANTALL,6,0
JG.3,PREV_MONTH_PERC,0,2
JG.3,CURR_MONTH_PERC,3.66,0
JG.3,PERC_CHANGE,0,2
GK.2,PREV_MONTH_ANTALL,0,1
GK.2,CURR_MONTH_ANTALL,5,0
GK.2,PREV_MONTH_PERC,0,2
GK.2,CURR_MONTH_PERC,3.05,0
GK.2,PERC_CHANGE,0,2
XBB.1.16.6,PREV_MONTH_ANTALL,7,0
XBB.1.16.6,CURR_MONTH_ANTALL,4,0
XBB.1.16.6,PREV_MONTH_PERC,4.67,0
XBB.1.16.6,CURR_MONTH_PERC,2.44,0
XBB.1.16.6,PERC_CHANGE,-47.8,0
GE.1,PREV_MONTH_ANTALL,6,0
GE.1,CURR_MONTH_ANTALL,4,0
GE.1,PREV_MONTH_PERC,4,0
GE.1,CURR_MONTH_PERC,2.44,0
GE.1,PERC_CHANGE,-39,0
