PANGOLIN_NOM,CATEGORY,ANTALL,SPVFLAGG
EG.5.1.1,PREV_MONTH_ANTALL,39,0
EG.5.1.1,CURR_MONTH_ANTALL,17,0
EG.5.1.1,PREV_MONTH_PERC,26,0
EG.5.1.1,CURR_MONTH_PERC,13.82,0
EG.5.1.1,PERC_CHANGE,-47,0
EG.5.1.3,PREV_MONTH_ANTALL,8,0
EG.5.1.3,CURR_MONTH_ANTALL,16,0
EG.5.1.3,PREV_MONTH_PERC,5.33,0
EG.5.1.3,CURR_MONTH_PERC,13.01,0
EG.5.1.3,PERC_CHANGE,144,0
HK.3,PREV_MONTH_ANTALL,6,0
HK.3,CURR_MONTH_ANTALL,15,0
HK.3,PREV_MONTH_PERC,4,0
HK.3,CURR_MONTH_PERC,12.2,0
HK.3,PERC_CHANGE,205,0
EG.5.1,PREV_MONTH_ANTALL,1,0
EG.5.1,CURR_MONTH_ANTALL,13,0
EG.5.1,PREV_MONTH_PERC,0.67,0
EG.5.1,CURR_MONTH_PERC,10.57,0
EG.5.1,PERC_CHANGE,1478,0
XBB.1.16,PREV_MONTH_ANTALL,10,0
XBB.1.16,CURR_MONTH_ANTALL,5,0
XBB.1.16,PREV_MONTH_PERC,6.67,0
XBB.1.16,CURR_MONTH_PERC,4.07,0
XBB.1.16,PERC_CHANGE,-39,0
EG.5.1.6,PREV_MONTH_ANTALL,2,0
EG.5.1.6,CURR_MONTH_ANTALL,5,0
EG.5.1.6,PREV_MONTH_PERC,1.33,0
EG.5.1.6,CURR_MONTH_PERC,4.07,0
EG.5.1.6,PERC_CHANGE,206,0
HV.1,PREV_MONTH_ANTALL,2,0
HV.1,CURR_MONTH_ANTALL,4,0
HV.1,PREV_MONTH_PERC,1.33,0
HV.1,CURR_MONTH_PERC,3.25,0
HV.1,PERC_CHANGE,144,0
XBB.1.16.6,PREV_MONTH_ANTALL,7,0
XBB.1.16.6,CURR_MONTH_ANTALL,3,0
XBB.1.16.6,PREV_MONTH_PERC,4.67,0
XBB.1.16.6,CURR_MONTH_PERC,2.44,0
XBB.1.16.6,PERC_CHANGE,-48,0
EG.5.1.4,PREV_MONTH_ANTALL,2,0
EG.5.1.4,CURR_MONTH_ANTALL,3,0
EG.5.1.4,PREV_MONTH_PERC,1.33,0
EG.5.1.4,CURR_MONTH_PERC,2.44,0
EG.5.1.4,PERC_CHANGE,83,0
GE.1,PREV_MONTH_ANTALL,6,0
GE.1,CURR_MONTH_ANTALL,2,0
GE.1,PREV_MONTH_PERC,4,0
GE.1,CURR_MONTH_PERC,1.63,0
GE.1,PERC_CHANGE,-59,0
