PANGOLIN_NOM,CATEGORY,ANTALL,SPVFLAGG
EG.5.1.1,CURR_MONTH_ANTALL,20,0
EG.5.1.1,PREV_MONTH_ANTALL,13,0
EG.5.1.1,CURR_MONTH_PERC,27.4,0
EG.5.1.1,PREV_MONTH_PERC,12.87,0
EG.5.1.1,PERC_CHANGE,112.9,0
XBB.1.16,CURR_MONTH_ANTALL,7,0
XBB.1.16,PREV_MONTH_ANTALL,14,0
XBB.1.16,CURR_MONTH_PERC,9.59,0
XBB.1.16,PREV_MONTH_PERC,13.86,0
XBB.1.16,PERC_CHANGE,-30.8,0
EG.5.1.3,CURR_MONTH_ANTALL,5,0
EG.5.1.3,PREV_MONTH_ANTALL,5,0
EG.5.1.3,CURR_MONTH_PERC,6.85,0
EG.5.1.3,PREV_MONTH_PERC,4.95,0
EG.5.1.3,PERC_CHANGE,38.4,0
XBB.1.16.12,CURR_MONTH_ANTALL,5,0
XBB.1.16.12,PREV_MONTH_ANTALL,4,0
XBB.1.16.12,CURR_MONTH_PERC,6.85,0
XBB.1.16.12,PREV_MONTH_PERC,3.96,0
XBB.1.16.12,PERC_CHANGE,73,0
EG.6.1,CURR_MONTH_ANTALL,4,0
EG.6.1,PREV_MONTH_ANTALL,6,0
EG.6.1,CURR_MONTH_PERC,5.48,0
EG.6.1,PREV_MONTH_PERC,5.94,0
EG.6.1,PERC_CHANGE,-7.7,0
FE.1.1,CURR_MONTH_ANTALL,3,0
FE.1.1,PREV_MONTH_ANTALL,0,1
FE.1.1,CURR_MONTH_PERC,4.11,0
FE.1.1,PREV_MONTH_PERC,0,2
FE.1.1,PERC_CHANGE,0,2
XBB.1.16.6,CURR_MONTH_ANTALL,3,0
XBB.1.16.6,PREV_MONTH_ANTALL,0,1
XBB.1.16.6,CURR_MONTH_PERC,4.11,0
XBB.1.16.6,PREV_MONTH_PERC,0,2
XBB.1.16.6,PERC_CHANGE,0,2
XBB.1.42.1,CURR_MONTH_ANTALL,3,0
XBB.1.42.1,PREV_MONTH_ANTALL,0,1
XBB.1.42.1,CURR_MONTH_PERC,4.11,0
XBB.1.42.1,PREV_MONTH_PERC,0,2
XBB.1.42.1,PERC_CHANGE,0,2
GE.1,CURR_MONTH_ANTALL,2,0
GE.1,PREV_MONTH_ANTALL,3,0
GE.1,CURR_MONTH_PERC,2.74,0
GE.1,PREV_MONTH_PERC,2.97,0
GE.1,PERC_CHANGE,-7.7,0
XBB.1.16.15,CURR_MONTH_ANTALL,2,0
XBB.1.16.15,PREV_MONTH_ANTALL,3,0
XBB.1.16.15,CURR_MONTH_PERC,2.74,0
XBB.1.16.15,PREV_MONTH_PERC,2.97,0
XBB.1.16.15,PERC_CHANGE,-7.7,0
