PANGO_SHORT,CATEGORY,ANTALL,SPVFLAGG
BA.2.75,2023-sep,0,0
BA.2.75,2023-okt,1,0
BA.2.75,2023-nov,0,0
BA.2.75,2023-des,0,0
BA.2.86,2023-sep,4,0
BA.2.86,2023-okt,14,0
BA.2.86,2023-nov,65,0
BA.2.86,2023-des,13,0
XBB.1.5-like,2023-sep,10,0
XBB.1.5-like,2023-okt,6,0
XBB.1.5-like,2023-nov,8,0
XBB.1.5-like,2023-des,0,0
XBB.1.5-like+F456L,2023-sep,89,0
XBB.1.5-like+F456L,2023-okt,102,0
XBB.1.5-like+F456L,2023-nov,72,0
XBB.1.5-like+F456L,2023-des,5,0
BA.2.75,TOTAL_OBS,961,0
BA.2.86,TOTAL_OBS,96,0
XBB.1.5-like,TOTAL_OBS,702,0
XBB.1.5-like+F456L,TOTAL_OBS,398,0
