MONTH,VARIANT,ANTALL,PROSENT,SPVFLAGG
November,JN.1,32,16.2,0
Desember,JN.1,10,55.6,0
November,JG.3,22,11.1,0
Desember,JG.3,2,11.1,0
November,HK.3,20,10.1,0
Desember,HK.3,0,0,1
November,HV.1,16,8.1,0
Desember,HV.1,1,5.6,0
November,BA.2.86.1,14,7.1,0
Desember,BA.2.86.1,0,0,1
November,JD.1.1,2,1,0
Desember,JD.1.1,0,0,1
November,JN.3,7,3.5,0
Desember,JN.3,0,0,1
November,EG.5.1,6,3,0
Desember,EG.5.1,0,0,1
November,EG.5.1.1,6,3,0
Desember,EG.5.1.1,0,0,1
November,HK.3.2,6,3,0
Desember,HK.3.2,0,0,1
