MONTH,VARIANT,ANTALL,PROSENT,SPVFLAGG
Mars,JN.15,5,50.0,0
April,JN.1,0,0,0
Mars,JN.1.4,2,20.0,0
April,JN.1.4,0,0,0
Mars,JN.1.2,1,10.0,0
April,JN.1.2,0,0,0
Mars,JN.1.7,1,10.0,0
April,JN.1.7,0,0,0
Mars,XDP,1,10.0,0
April,XDP,0,0,0
Mars,JN.1.1,0,0,0
April,JN.1.1,0,0,0
Mars,JN.1.13.1,0,0,0
April,JN.1.13.1,0,0,0
Mars,JN.2.3,0,0,0
April,JN.2.3,0,0,0
Mars,BA.2,0,0,0
April,BA.2,0,0,0
Mars,BA.2.86.1,0,0,0
April,BA.2.86.1,0,0,0
