PANGO_SHORT,CATEGORY,ANTALL,SPVFLAGG
BA.2.87.1,2024-jan,0,0
BA.2.87.1,2024-feb,0,0
BA.2.87.1,2024-mar,0,0
BA.2.87.1,2024-apr,0,0
BA.2.87.1,TOTAL_OBS,0,0
