MONTH,VARIANT,ANTALL,PROSENT,SPVFLAGG
Januar,JN.1,10,100,0
Desember,JN.1,75,50.7,0
Januar,JN.2,0,0,0
Desember,JN.2,20,13.5,0
Januar,BA.2.86.1,0,0,0
Desember,BA.2.86.1,14,9.5,0
Januar,JG.3,0,0,0
Desember,JG.3,8,5.4,0
Januar,HV.1,0,0,0
Desember,HV.1,6,4.1,0
Januar,HK.3.2,0,0,0
Desember,HK.3.2,3,2.0,0
Januar,JD.1.1,0,0,0
Desember,JD.1.1,3,2.0,0
Januar,FL.1.5.2,0,0,0
Desember,FL.1.5.2,2,1.4,0
Januar,GK.2.3,0,0,0
Desember,GK.2.3,2,1.4,0
