PANGOLIN_NOM,CATEGORY,ANTALL,SPVFLAGG
EG.5.1.1,PREV_MONTH_ANTALL,38,0
EG.5.1.1,CURR_MONTH_ANTALL,4,0
EG.5.1.1,PREV_MONTH_PERC,26.76,0
EG.5.1.1,CURR_MONTH_PERC,16,0
EG.5.1.1,PERC_CHANGE,-40,0
EG.5.1,PREV_MONTH_ANTALL,1,0
EG.5.1,CURR_MONTH_ANTALL,4,0
EG.5.1,PREV_MONTH_PERC,0.7,0
EG.5.1,CURR_MONTH_PERC,16,0
EG.5.1,PERC_CHANGE,2186,0
EG.5.1.3,PREV_MONTH_ANTALL,8,0
EG.5.1.3,CURR_MONTH_ANTALL,4,0
EG.5.1.3,PREV_MONTH_PERC,5.63,0
EG.5.1.3,CURR_MONTH_PERC,16,0
EG.5.1.3,PERC_CHANGE,184,0
HK.3,PREV_MONTH_ANTALL,6,0
HK.3,CURR_MONTH_ANTALL,4,0
HK.3,PREV_MONTH_PERC,4.23,0
HK.3,CURR_MONTH_PERC,16,0
HK.3,PERC_CHANGE,278,0
XBB.1.16,PREV_MONTH_ANTALL,10,0
XBB.1.16,CURR_MONTH_ANTALL,1,0
XBB.1.16,PREV_MONTH_PERC,7.04,0
XBB.1.16,CURR_MONTH_PERC,4,0
XBB.1.16,PERC_CHANGE,-43,0
EG.5.1.6,PREV_MONTH_ANTALL,1,0
EG.5.1.6,CURR_MONTH_ANTALL,1,0
EG.5.1.6,PREV_MONTH_PERC,0.7,0
EG.5.1.6,CURR_MONTH_PERC,4,0
EG.5.1.6,PERC_CHANGE,471,0
EG.6.1,PREV_MONTH_ANTALL,5,0
EG.6.1,CURR_MONTH_ANTALL,1,0
EG.6.1,PREV_MONTH_PERC,3.52,0
EG.6.1,CURR_MONTH_PERC,4,0
EG.6.1,PERC_CHANGE,14,0
GE.1,PREV_MONTH_ANTALL,5,0
GE.1,CURR_MONTH_ANTALL,1,0
GE.1,PREV_MONTH_PERC,3.52,0
GE.1,CURR_MONTH_PERC,4,0
GE.1,PERC_CHANGE,14,0
GW.5,PREV_MONTH_ANTALL,1,0
GW.5,CURR_MONTH_ANTALL,1,0
GW.5,PREV_MONTH_PERC,0.7,0
GW.5,CURR_MONTH_PERC,4,0
GW.5,PERC_CHANGE,471,0
HV.1,PREV_MONTH_ANTALL,2,0
HV.1,CURR_MONTH_ANTALL,1,0
HV.1,PREV_MONTH_PERC,1.41,0
HV.1,CURR_MONTH_PERC,4,0
HV.1,PERC_CHANGE,184,0
