PANGO_SHORT,CATEGORY,ANTALL,SPVFLAGG
BA.2.75,2023-aug,3,0
BA.2.75,2023-sep,0,0
BA.2.75,2023-okt,1,0
BA.2.75,2023-nov,0,0
BA.2.86,2023-aug,0,0
BA.2.86,2023-sep,4,0
BA.2.86,2023-okt,13,0
BA.2.86,2023-nov,56,0
XBB.1.5-like,2023-aug,15,0
XBB.1.5-like,2023-sep,10,0
XBB.1.5-like,2023-okt,6,0
XBB.1.5-like,2023-nov,5,0
XBB.1.5-like+F456L,2023-aug,71,0
XBB.1.5-like+F456L,2023-sep,89,0
XBB.1.5-like+F456L,2023-okt,101,0
XBB.1.5-like+F456L,2023-nov,67,0
BA.2.75,TOTAL_OBS,961,0
BA.2.86,TOTAL_OBS,73,0
XBB.1.5-like,TOTAL_OBS,699,0
XBB.1.5-like+F456L,TOTAL_OBS,387,0
