MONTH,VARIANT,ANTALL,PROSENT,SPVFLAGG
Januar,JN.1,46,39.7,0
Desember,JN.1,40,27.0,0
Januar,JN.1.4,43,37.1,0
Desember,JN.1.4,35,23.6,0
Januar,JN.2,5,4.3,0
Desember,JN.2,17,11.5,0
Januar,JN.1.1,3,2.6,0
Desember,JN.1.1,5,3.4,0
Januar,BA.2.86.1,2,1.7,0
Desember,BA.2.86.1,4,2.7,0
Januar,HK.11.1,2,1.7,0
Desember,HK.11.1,1,0.7,0
Januar,JN.3,2,1.7,0
Desember,JN.3,0,0,0
Januar,HK.1,1,0.9,0
Desember,HK.1,0,0,0
Januar,HK.3.2,1,0.9,0
Desember,HK.3.2,3,2.0,0
Januar,JD.1.1.1,1,0.9,0
Desember,JD.1.1.1,0,0,0
